"Year","Season","Reg No","Name","Tattoo","CED","CED Acc","BW","BW Acc","WW","WW Acc","YW","YW Acc","Milk","Milk Acc","Total Maternal","Growth Idx"
"2024","20240808","AP295658","ARTESIAN ELENA L310","L310","-1.393","0.11","2.312","0.275","49.024","0.17","87.3","0.027","26.482","0.061","50.994","93.131"
"2024","20240808","AF101","DAI-HACHI 8 MARUNAMI","FJ461Z","4.437","0.524","-0.25","0.756","13.552","0.612","41.516","0.126","25.053","0.46","31.828999","69.418"
"2024","20240808","AF10711","HEARTBRAND H7667R","H7667R","4.101","0.416","1.784","0.62","44.036","0.429","80.358","0.074","22.547","0.292","44.565002","87.916"
"2024","20240808","AF1266","HEARTBRAND H1010P","H1010P","10.101","0.417","-2.22","0.619","34.032","0.448","66.198","0.077","19.911","0.332","36.927002","76.306"
"2024","20240808","AF6941","HEARTBRAND P0395S","P0395S","-1.619","0.411","1.764","0.623","28.265","0.454","60.535","0.081","20.834","0.246","34.9665","84.39"
"2024","20240808","AF233","HEARTBRAND T0068L","T0068L","-3.91","0.528","2.273","0.728","30.888","0.555","62.752","0.12","23.296","0.457","38.739998","58.651"
"2024","20240808","AF6910","HEARTBRAND H0002N","H0002N","-3.619","0.152","1.685","0.139","46.099","0.145","82.57","0.023","21.588","0.127","44.637497","83.865"
"2024","20240808","AF3540","HEARTBRAND T3167R","T3167R","0.066","0.312","1.161","0.423","35.869","0.313","69.847","0.084","25.906","0.257","43.8405","76.46"
"2024","20240808","AF7902","HEARTBRAND V7405U","V7405U","5.761","0.246","0.986","0.335","24.913","0.208","55.326","0.038","24.956","0.162","37.4125","60.217"
"2024","20240808","AF7291","HEARTBRAND V7022U","V7022U","-1.162","0.241","0.586","0.265","38.967","0.241","74.001","0.043","23.619","0.189","43.1025","89.29"
"2024","20240808","AF8035","HEARTBRAND V7504U","V7504U","4.01","0.29","0.508","0.387","41.974","0.304","76.509","0.061","22.189","0.254","43.176","69.694"
"2024","20240808","AF14015","HEARTBRAND 9315X","9315X","2.694","0.272","1.107","0.385","33.368","0.215","65.863","0.042","22.292","0.122","38.975998","66.456"
"2024","20240808","AF16890","TWINWOOD 0386Y","0386Y","-0.075","0.33","4.658","0.472","50.94","0.311","89.622","0.052","25.598","0.184","51.068","83.692"
"2024","20240808","EAF128754","BALD RIDGE AISURU","CCCFH0025","0.303","0.09","1.887","0.152","32.916","0.111","66.26","0.017","25.553","0.055","42.011","74.96"
"2024","20240808","3A55457","RANCHO ESPUELA 174A","174A","-1.129","0.154","1.72","0.187","46.208","0.152","82.848","0.025","25.6","0.105","48.704002","79.065"
"2024","20240808","AF77866","HEARTBRAND 6279B","6279B","1.797","0.273","2.512","0.436","31.212","0.294","64.358","0.052","29.065","0.206","44.671","69.617"
"2024","20240808","1T84276","ARTESIAN 501","501","0.63","0.115","0.149","0.081","47.262","0.06","84.208","0.01","25.92","0.042","49.551003","86.447"
"2024","20240808","1T84272","ARTESIAN 505","505","0.63","0.115","0.149","0.081","47.262","0.06","84.208","0.01","25.92","0.042","49.551003","86.447"
"2024","20240808","1T84266","ARTESAIN 511","511","-6.16","0.096","1.472","0.083","43.82","0.067","79.803","0.011","25.37","0.051","47.28","78.749"
"2024","20240808","AF77835","HEARTBRAND 5820C","5820C","-3.354","0.258","3.497","0.425","46.455","0.267","84.176","0.045","29.341","0.181","52.5685","83.608"
"2024","20240808","1T94620","ARTESIAN C027116089","6089","-5.556","0.108","3.631","0.083","49.272","0.069","87.738","0.012","28.029","0.045","52.665","86.99"
"2024","20240808","1T94622","ARTESIAN C027116091","6091","-2.967","0.092","2.064","0.079","45.212","0.056","81.285","0.011","24.341","0.046","46.947","73.591"
"2024","20240808","1T94681","ARTESIAN C027116151","6151","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","1T94676","ARTESIAN C027116146","6146","-3.061","0.071","1.56","0.054","44.099","0.049","80.073","0.008","23.567","0.038","45.6165","80.263"
"2024","20240808","1T94716","ARTESIAN C027116184","6184","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T94721","ARTESIAN C027116189","6189","-5.943","0.195","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T94729","ARTESIAN C027116197","6197","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T94722","ARTESIAN C027116190","6190","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T94742","ARTESIAN C027116210","6210","-2.967","0.092","2.064","0.079","45.212","0.056","81.285","0.011","24.341","0.046","46.947","73.591"
"2024","20240808","1T94747","ARTESIAN C027116215","6215","-2.967","0.092","2.064","0.079","45.212","0.056","81.285","0.011","24.341","0.046","46.947","73.591"
"2024","20240808","1T104869","ARTESIAN C0271166229","6229","-2.35","0.114","1.356","0.088","43.826","0.058","79.483","0.011","23.801","0.036","45.714","75.95"
"2024","20240808","1T94662","ARTESIAN C027116132","6132","-3.799","0.117","2.326","0.077","46.362","0.054","83.911","0.011","26.237","0.037","49.418","91.556"
"2024","20240808","AF87227","HEARTBRAND 7976D","7976D","5.702","0.234","1.033","0.337","41.115","0.207","77.687","0.037","26.762","0.131","47.3195","100.963"
"2024","20240808","AF88543","HEARTBRAND 7661D","7661D","3.967","0.284","-0.21","0.38","44.084","0.282","79.374","0.052","21.509","0.172","43.551003","78.971"
"2024","20240808","1T110149","7044","7044","-0.375","0.197","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T110159","7005","7005","-4.927","0.187","2.121","0.076","41.839","0.051","77.366","0.009","27.296","0.039","48.2155","72.536"
"2024","20240808","AF91289","MCC 6871","6871","2.709","0.263","3.001","0.301","39.93","0.235","75.677","0.046","27.006","0.189","46.971","81.674"
"2024","20240808","AF91302","MCC 6875","6875","0.345","0.191","3.249","0.346","45.936","0.226","83.437","0.04","28.291","0.161","51.259003","84.743"
"2024","20240808","1T110202","7049","7049","-0.457","0.198","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T110090","7129","7129","-5.73","0.187","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","1T110223","7024","7024","-5.466","0.183","3.631","0.083","49.272","0.069","87.738","0.012","28.029","0.045","52.665","86.99"
"2024","20240808","1T110213","7051","7051","-5.466","0.183","3.631","0.083","49.272","0.069","87.738","0.012","28.029","0.045","52.665","86.99"
"2024","20240808","1T110272","7124","7124","-5.466","0.183","3.631","0.083","49.272","0.069","87.738","0.012","28.029","0.045","52.665","86.99"
"2024","20240808","1T110181","7165","7165","-5.291","0.185","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T110248","7166","7166","-5.402","0.186","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T110148","7167","7167","-5.291","0.185","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T110257","7168","7168","-6.152","0.19","2.544","0.082","46.818","0.065","84.155","0.015","25.414","0.05","48.822998","86.189"
"2024","20240808","1T110281","7173","7173","-5.402","0.186","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T110228","7174","7174","-6.152","0.19","2.544","0.082","46.818","0.065","84.155","0.015","25.414","0.05","48.822998","86.189"
"2024","20240808","1T110028","7175","7175","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T110135","7177","7177","-5.377","0.186","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T110263","7179","7179","-5.402","0.186","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T110041","7083","7083","-5.127","0.114","2.121","0.076","41.839","0.051","77.366","0.009","27.296","0.039","48.2155","72.536"
"2024","20240808","1T110244","7187","7187","-6.152","0.19","2.544","0.082","46.818","0.065","84.155","0.015","25.414","0.05","48.822998","86.189"
"2024","20240808","1T110171","6239","6239","-3.628","0.189","2.326","0.077","46.362","0.054","83.911","0.011","26.237","0.037","49.418","91.556"
"2024","20240808","1T110164","7045","7045","-3.628","0.189","2.326","0.077","46.362","0.054","83.911","0.011","26.237","0.037","49.418","91.556"
"2024","20240808","1T110170","7076","7076","-3.628","0.189","2.326","0.077","46.362","0.054","83.911","0.011","26.237","0.037","49.418","91.556"
"2024","20240808","1T110183","7086","7086","-3.628","0.189","2.326","0.077","46.362","0.054","83.911","0.011","26.237","0.037","49.418","91.556"
"2024","20240808","1T110231","7004","7004","-0.457","0.198","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T110261","7061","7061","-6.118","0.195","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T110243","7253","7253","-6.118","0.195","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T110260","7128","7128","-3.731","0.19","2.326","0.077","46.362","0.054","83.911","0.011","26.237","0.037","49.418","91.556"
