Status/Disposal,Ear Tag,Ear Tag Location,Brand,Brand Location,Tattoo,Tattoo Location,Other ID,Other ID Location,Name,Registration Number,Breeder,Breeder Member Number,Owner,Owner Member Number,Date of Birth,Birth Method,Sire,Dam,Status,Type or Sex,Percent Purebred,Breed,Breed 1,Breed 2,Breed 3,Breed Comp 1,Breed Comp 2,Breed Comp 3,Horns,Color Markings,EPDType,EPD Reporting Period,Calving Ease Direct EPD,Calving Ease Direct Acc,Birth Weight EPD,Birth Weight Acc,Weaning Weight EPD,Weaning Weight Acc,Yearling Weight EPD,Yearling Weight Acc,Milk EPD,Milk Acc,Total Maternal EPD,Calving Ease Maternal EPD,Calving Ease Maternal Acc,Scrotal Circumference EPD,Scrotal Circumference Acc,Ribeye Area EPD,Ribeye Area Acc,Marbling EPD,Marbling Acc,Fat Thickness EPD,Fat Thickness Acc,Carcass Weight EPD,Carcass Weight  Acc,Percent Retail Cuts EPD,Percent Retail Cuts Acc,Intramuscular Fat EPD,Intramuscular Fat Acc,Birth Weight,Adjusted Birth Weight,Birth Contemp Group,Birth contemporaries,Birth Weight Ratio,Birth Height,Calving Ease,Birth Code,Nurse Code,Twin code,Dam Teat Score,Dam Udder Score,Dam Gestation Length,Weaning Date,Weaning Weight Date,Weaning Weight,Adjusted Weaning Weight,Weaning Contemp Group,Weaning Contemporaries,Weaning Weight Ratio,Weaning WDA,Weaning Height,Weaning Frame Score,Weaning Mgmt Code,Weaning Pasture Code,Weaning Sheath/Namvel,Yearling Date,Yearling Weight Date,Yearling Weight,Adjusted Yearling Weight,Yearling Contemp Group,Yearling Contemporaries,Yearling Weight Ratio,Yearling WDA,Yearling ADG,Yearling ADG Ratio,Yearling Height,Yearling Frame Score,Yearling Mgmt Code,Yearling Pasture Code,Yearling Sheath/Navel
0,,,C0271,RH,8075,LE,,,ARTESIAN CATTLE C0271188075,1A128345,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/5/2018,NS,AF31519,X93873,Active,C,,,AA,AN,XX,50,25,25,P,,P,20240808,-0.5,0.1,0.4,0.08,47,0.06,83,0.01,24,0.04,46.999,,,,,,,,,,,,,,,,,0,,6144-6271,40,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,9071,,,,ARTESIAN CATTLE 9071,1A151658,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/26/2019,NS,AF36497,X94219,Active,C,,,AA,CH,XX,50,25,25,P,,P,20240808,-3.8,0.12,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,15786-6,22,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,1027,,,,ARTESIAN 1603Z OLIVIA 1027,1A217728,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/16/2021,NS,AF36497,X93901,Active,C,,,AA,AN,XX,50,25,25,P,,P,20240808,-3.8,0.12,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,18216-3,66,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,1077,,,,ARTESIAN 2163A AVA 1077,1A217778,ARTESIAN CATTLE & FARMING LLC,291,ROCKY MILL CATTLE CO.,1668,2/24/2021,NS,AF42330,X209885,Reference,C,,,AA,AR,,50,50,,P,,P,20240808,-2.6,0.13,2.1,0.08,42,0.05,77,0.01,27,0.04,48.2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,1080,,,,ARTESIAN CATTLE 1080,1A217781,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/22/2021,NS,AF42330,X209905,Active,C,,,AA,AR,,50,50,,P,,P,20240808,-5.1,0.11,2.1,0.08,42,0.05,77,0.01,27,0.04,48.2155,,,,,,,,,,,,,,,,,0,,18217-1,13,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,1097,,,,ARTESIAN 2163A AIDEN 1097,1A217798,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/26/2021,NS,AF42330,X209908,Active,C,,,AA,AR,,50,50,,P,,P,20240808,-5.1,0.11,2.1,0.08,42,0.05,77,0.01,27,0.04,48.2155,,,,,,,,,,,,,,,,,0,,18217-1,13,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,1174,,,,ARTESIAN 2161A KRYSTAL 1174,1A217875,ARTESIAN CATTLE & FARMING LLC,291,ROCKY MILL CATTLE CO.,1668,3/7/2021,NS,AF42333,X151560,Reference,C,,,AA,AN,,50,50,,P,,P,20240808,-8.2,0.14,1.5,0.08,43,0.05,79,0.01,25,0.04,46.7455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,LH,6229,LE,,,ARTESIAN C0271166229,1T104869,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,11/28/2016,NS,AF42320,X94194,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-2.4,0.11,1.4,0.09,44,0.06,79,0.01,24,0.04,45.714,,,,,,,,,,,,,,,,,0,,5542-4315,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7175,RE,,,7175,1T110028,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/18/2017,NS,AF62396,X93881,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,-5.5,0.11,1.7,0.08,44,0.04,79,0.01,26,0.03,47.6465,,,,,,,,,,,,,,,,,0,,5650-4754,60,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7083,RE,,,7083,1T110041,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/23/2017,NS,AF42330,X109581,Active,C,,,AA,,XX,50,,50,P,,N,20240808,-5.1,0.11,2.1,0.08,42,0.05,77,0.01,27,0.04,48.2155,,,,,,,,,,,,,,,,,0,,5650-4754,60,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
