"animal_registration","phn","animal_name","sire","sire_phn","sire_name","dam","dam_phn","dam_name","sire_sire","sire_sire_phn","sire_sire_name","sire_dam","sire_dam_phn","sire_dam_name","dam_sire","dam_sire_phn","dam_sire_name","dam_dam","dam_dam_phn","dam_dam_name","sire_sire_sire","sire_sire_sire_phn","sire_sire_sire_name","sire_sire_dam","sire_sire_dam_phn","sire_sire_dam_name","sire_dam_sire","sire_dam_sire_phn","sire_dam_sire_name","sire_dam_dam","sire_dam_dam_phn","sire_dam_dam_name","dam_sire_sire","dam_sire_sire_phn","dam_sire_sire_name","dam_sire_dam","dam_sire_dam_phn","dam_sire_dam_name","dam_dam_sire","dam_dam_sire_phn","dam_dam_sire_name","dam_dam_dam","dam_dam_dam_phn","dam_dam_dam_name","sire_sire_sire_sire","sire_sire_sire_sire_phn","sire_sire_sire_sire_name","sire_sire_sire_dam","sire_sire_sire_dam_phn","sire_sire_sire_dam_name","sire_sire_dam_sire","sire_sire_dam_sire_phn","sire_sire_dam_sire_name","sire_sire_dam_dam","sire_sire_dam_dam_phn","sire_sire_dam_dam_name","dam_sire_sire_sire","dam_sire_sire_sire_phn","dam_sire_sire_sire_name","dam_sire_sire_dam","dam_sire_sire_dam_phn","dam_sire_sire_dam_name","dam_sire_dam_sire","dam_sire_dam_sire_phn","dam_sire_dam_sire_name","dam_sire_dam_dam","dam_sire_dam_dam_phn","dam_sire_dam_dam_name","sire_dam_sire_sire","sire_dam_sire_sire_phn","sire_dam_sire_sire_name","sire_dam_sire_dam","sire_dam_sire_dam_phn","sire_dam_sire_dam_name","sire_dam_dam_sire","sire_dam_dam_sire_phn","sire_dam_dam_sire_name","sire_dam_dam_dam","sire_dam_dam_dam_phn","sire_dam_dam_dam_name","dam_dam_sire_sire","dam_dam_sire_sire_phn","dam_dam_sire_sire_name","dam_dam_sire_dam","dam_dam_sire_dam_phn","dam_dam_sire_dam_name","dam_dam_dam_sire","dam_dam_dam_sire_phn","dam_dam_dam_sire_name","dam_dam_dam_dam","dam_dam_dam_dam_phn","dam_dam_dam_dam_name"
"X93971","932","932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1T110153","7019","7019-722","AF36497","1603Z","HEARTBRAND 1603Z","X93942","722","722","AF5638","S5204S","HEARTBRAND S5204S","AF8267","V6825U","HEARTBRAND V6825U","","","","","","","AF110","HB 457","SHIGEMARU","AF138","B0905J","HEARTBRAND B0905J","AF109","HB 459","TAMAMARU","AF1872","T1610P","HEARTBRAND T1610P","","","","","","","","","","","","","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","","","","","","","","","","","","","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF109","HB 459","TAMAMARU","AF161","B0951J","HEARTBRAND B0951J","","","","","","","","","","","",""
"1T110143","7087","7087-705A","AF36497","1603Z","HEARTBRAND 1603Z","X93932","705","705","AF5638","S5204S","HEARTBRAND S5204S","AF8267","V6825U","HEARTBRAND V6825U","","","","","","","AF110","HB 457","SHIGEMARU","AF138","B0905J","HEARTBRAND B0905J","AF109","HB 459","TAMAMARU","AF1872","T1610P","HEARTBRAND T1610P","","","","","","","","","","","","","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","","","","","","","","","","","","","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF109","HB 459","TAMAMARU","AF161","B0951J","HEARTBRAND B0951J","","","","","","","","","","","",""
"EXX1","","CROSSBREED BULL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X93914","448","448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X109539","621","621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X109535","607","607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X109536","608","608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X109537","610","610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X109538","620","620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X109540","631","631","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X109541","633","633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1T110173","7250","7250","AF34651","1177Z","HEARTBRAND 1177Z","X94202","226","226","AF7269","S6386U","HEARTBRAND KC S6386U","AF2374","C2113P","HEARTBRAND C2113P","","","","","","","AF110","HB 457","SHIGEMARU","AF230","C0062L","HEARTBRAND C0062L","AF123","H0518E","HEARTBRAND H0518E","AF6906","S0354L","HEARTBRAND S0354L","","","","","","","","","","","","","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF123","H0518E","HEARTBRAND H0518E","AF141","S0917J","HEARTBRAND S0917J","","","","","","","","","","","","","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF104","FJ354B","AKIKO","","","","","","","","","","","",""
"EBR0","","BRAHMAN COW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ100","KO 48","SHIGENAMI KO 48","AJ086","KO 1842","DAI 2 TAMASHIGE KO 1842","AJ129","1KYU 78","SHIGEMIYA 1KYU 78","AJ128","KO 387","HATSUTAMA KO 387","AJ066","KO 38","NAKAHORI KO 38","AJ065","1KYU 19222","TAMAHANA 1KYU 19222","AJ127","11","SHIGETAMA H 11","AJ019","YOKUMA 46323","DAI 5 SACHI YOKUMA 46323","AJ127","11","SHIGETAMA H 11","AJ018","YOKUMA 48412","MITSUYAMA YOKUMA 48412","AJ016","KO 19","TATSUURA KO 19","AJ017","YOKUMA 47626","HATSUMI YOKUMA 47626","AJ015","HON 1000","SOMARU HON 1000","AJ014","YOKUMA 41526","TAMA YOKUMA 41526","AJ055","","SHIGEYUKI HON 561","AJ054","HON 3522","RAKU HON 3522","","","","","","","","","","","","","","","","","","","AJ055","","SHIGEYUKI HON 561","AJ054","HON 3522","RAKU HON 3522","","","","","","","","","","","","","","","","","",""
"AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AJ112","KO 65","DAI-JYUU 10 SHIGEKAWA KO 65","AJ084","1KYU 53244","DAI-NI 2 AKIBARE 1KYU 53244","AJ083","KO 53","DAI 2 SHIGEKAWA KO 53","AJ104","KO 1287","SOSHIGE KO 1287","AJ064","1KYU 507","DAI 3 SOSHOKU 1KYU 507","AJ062","KO 758","AKIBARE KO 758","AJ052","1KYU 191","SHIGEKAWA 1KYU 191","AJ051","KO 526","TAMAHARU KO 526","AJ131","KO 40","SHIGETAKARA H 40","AJ050","KO 346","SOEI 346","AJ012","KO 56","SOSHOKU KO 56","AJ013","1KYU 31804","DAI 3 SAKAE 1KYU 31804","AJ006","HON 1005","KASASAKURA HON 1005","AJ011","1KYU 3132","DAI 3 HARU 1KYU 3132","","","","","","","","","","","","","","","","","","","","","","","","","AJ127","11","SHIGETAMA H 11","AJ042","YOK 22765","TAKARA 3 22765","","","","","","","","","","","","","","","","","",""
