,Status/Disposal,Brand,Brand Location,Tattoo,Tattoo Location,Name,Registration Number_x,Breeder,Breeder Member Number,Owner,Owner Member Number,Date of Birth,Birth Method,Sire_x,Dam,Status,Type or Sex,Breed 1,Breed 2,Breed 3,Breed Comp 1,Breed Comp 2,Breed Comp 3,Horns,EPDType,EPD Reporting Period,CED,CED Acc,BW,BW Acc,WW,WW Acc,YW,YW Acc,MK,MK Acc,TM,Birth Weight,Adjusted Birth Weight,Birth Contemp Group,Birth contemporaries,Birth Weight Ratio,Calving Ease,Twin code,Weaning Date,Weaning Weight Date,Weaning Weight,Adjusted Weaning Weight,Weaning Contemp Group,Weaning Contemporaries,Weaning Weight Ratio,Weaning WDA,Weaning Mgmt Code,Weaning Pasture Code,Yearling Date,Yearling Weight Date,Yearling Weight,Adjusted Yearling Weight,Yearling Contemp Group,Yearling Contemporaries,Yearling Weight Ratio,Yearling WDA,Yearling ADG,Yearling Mgmt Code,Yearling Pasture Code,Growth,Year_Born,Age,Designation,phn,animal_name,sire,sire_phn,sire_name,dam,dam_phn,dam_name,sire_sire,sire_sire_phn,sire_sire_name,sire_dam,sire_dam_phn,sire_dam_name,dam_sire,dam_sire_phn,dam_sire_name,dam_dam,dam_dam_phn,dam_dam_name,sire_sire_sire,sire_sire_sire_phn,sire_sire_sire_name,sire_sire_dam,sire_sire_dam_phn,sire_sire_dam_name,sire_dam_sire,sire_dam_sire_phn,sire_dam_sire_name,sire_dam_dam,sire_dam_dam_phn,sire_dam_dam_name,dam_sire_sire,dam_sire_sire_phn,dam_sire_sire_name,dam_sire_dam,dam_sire_dam_phn,dam_sire_dam_name,dam_dam_sire,dam_dam_sire_phn,dam_dam_sire_name,dam_dam_dam,dam_dam_dam_phn,dam_dam_dam_name,sire_sire_sire_sire,sire_sire_sire_sire_phn,sire_sire_sire_sire_name,sire_sire_sire_dam,sire_sire_sire_dam_phn,sire_sire_sire_dam_name,sire_sire_dam_sire,sire_sire_dam_sire_phn,sire_sire_dam_sire_name,sire_sire_dam_dam,sire_sire_dam_dam_phn,sire_sire_dam_dam_name,dam_sire_sire_sire,dam_sire_sire_sire_phn,dam_sire_sire_sire_name,dam_sire_sire_dam,dam_sire_sire_dam_phn,dam_sire_sire_dam_name,dam_sire_dam_sire,dam_sire_dam_sire_phn,dam_sire_dam_sire_name,dam_sire_dam_dam,dam_sire_dam_dam_phn,dam_sire_dam_dam_name,sire_dam_sire_sire,sire_dam_sire_sire_phn,sire_dam_sire_sire_name,sire_dam_sire_dam,sire_dam_sire_dam_phn,sire_dam_sire_dam_name,sire_dam_dam_sire,sire_dam_dam_sire_phn,sire_dam_dam_sire_name,sire_dam_dam_dam,sire_dam_dam_dam_phn,sire_dam_dam_dam_name,dam_dam_sire_sire,dam_dam_sire_sire_phn,dam_dam_sire_sire_name,dam_dam_sire_dam,dam_dam_sire_dam_phn,dam_dam_sire_dam_name,dam_dam_dam_sire,dam_dam_dam_sire_phn,dam_dam_dam_sire_name,dam_dam_dam_dam,dam_dam_dam_dam_phn,dam_dam_dam_dam_name,_merge,Carcass_Number,Sex,Color,Carcass_Weight,Quality,Yield,Member_Name,Registration Number_y,Sire_y,Member_ID,carcass_merge
238,0,C0271,RH,0011,,ARTESIAN CATTLE 0011,1A186050,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-07,NS,AF62449,X93766,Active,C,AA,BN,,50.0,50.0,,P,N,20240808.0,-6.1,0.19,2.5,0.08,47.0,0.07,84.0,0.01,25.0,0.05,48.822998,0.0,,16402-2,53.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.49750000000002,2020.0,4.0,Dam,0011,ARTESIAN CATTLE 0011,AF62449,3620B,HEARTBRAND 3620B,X93766,033,033,AF109,HB 459,TAMAMARU,AF2688,H2426R,HEARTBRAND H2426R,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF147,T0930J,HEARTBRAND T0930J,,,,,,,,,,,,,AJ116,KO 70,TAMANAMI KO 70,AJ133,KO 2030,FUJIMITSU KO 2030,AJ093,KO 71,DAI-SAN 3 MITSUMARU KO 71,AJ123,TOK 14289,DAI-HICHI 7 MARUNAMI TOK 14289,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF109,HB 459,TAMAMARU,AF115,T0504E,HEARTBRAND T0504E,,,,,,,,,,,,,both,616,Heifer,Black,845,CH,4,E Cross,,,C0111,both
241,0,C0271,RH,0145,,ARTESIAN 3620B ASHLEY 0145,1A186061,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-14,NS,AF62449,X94186,Active,C,AA,AN,XX,50.0,25.0,25.0,H,P,20240808.0,-4.9,0.2,1.6,0.12,46.0,0.07,83.0,0.02,25.0,0.05,48.5345,0.0,,16402-2,53.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,85.6314,2020.0,4.0,Dam,0145,ARTESIAN 3620B ASHLEY 0145,AF62449,3620B,HEARTBRAND 3620B,X94186,210,210,AF109,HB 459,TAMAMARU,AF2688,H2426R,HEARTBRAND H2426R,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF147,T0930J,HEARTBRAND T0930J,,,,,,,,,,,,,AJ116,KO 70,TAMANAMI KO 70,AJ133,KO 2030,FUJIMITSU KO 2030,AJ093,KO 71,DAI-SAN 3 MITSUMARU KO 71,AJ123,TOK 14289,DAI-HICHI 7 MARUNAMI TOK 14289,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF109,HB 459,TAMAMARU,AF115,T0504E,HEARTBRAND T0504E,,,,,,,,,,,,,both,586,Heifer,Red,601,CH,2,E Cross,,,C0111,both
242,0,C0271,RH,0096,,ARTESIAN 6902D ALEXIS 0096,1A186063,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-07,NS,AF87030,X94188,Active,C,AA,AN,XX,50.0,25.0,25.0,H,P,20240808.0,-3.6,0.16,1.6,0.07,48.0,0.05,86.0,0.01,28.0,0.04,51.759,0.0,,16402-2,53.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,89.00340000000001,2020.0,4.0,Dam,0096,ARTESIAN 6902D ALEXIS 0096,AF87030,6902D,HEARTBRAND 6902D,X94188,212,ARTESIAN ALEXIS 212,AF6971,S5394S,HEARTBRAND JOE S5394S,AF14002,9302X,HEARTBRAND 9302X,,,,,,,AF110,HB 457,SHIGEMARU,AF263,B0004M,HEARTBRAND B0004M,AF4234,S3816S,HEARTBRAND S3816S,AF1774,T1515P,HEARTBRAND T1515P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AF110,HB 457,SHIGEMARU,AF207,B0092K,HEARTBRAND B0092K,AF109,HB 459,TAMAMARU,AF236,H0919L,HEARTBRAND H0919L,,,,,,,,,,,,,both,695,Heifer,Red,767,P,3,E Cross,,,C0111,both
243,0,C0271,RH,0066,,ARTESIAN CATTLE 0066,1A186066,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-01,NS,AF36497,X94192,Active,C,AA,AN,XX,50.0,25.0,25.0,P,P,20240808.0,-3.7,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,16402-2,53.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2020.0,4.0,Dam,0066,ARTESIAN CATTLE 0066,AF36497,1603Z,HEARTBRAND 1603Z,X94192,216,216,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,1016,Heifer,Red,804,CH,2,E Cross,,,C0111,both
244,0,C0271,RH,0101,,ARTESIAN CATTLE 0101,1A186067,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-02-29,NS,AF62396,X94193,Active,C,AA,AN,XX,50.0,25.0,25.0,P,P,20240808.0,-5.4,0.19,1.7,0.08,44.0,0.04,79.0,0.01,26.0,0.03,47.6465,0.0,,16402-4,20.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.13130000000001,2020.0,4.0,Dam,0101,ARTESIAN CATTLE 0101,AF62396,3628B,HEARTBRAND 3628B,X94193,217,217,AF19339,9973Y,HEARTBRAND 9973Y,AF14107,9538Y,HEARTBRAND 9538Y,,,,,,,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,AF233,T0068L,HEARTBRAND T0068L,AF414,B0157M,HEARTBRAND B0157M,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF112,FJ244C,HEARTBRAND HITOMI 244,,,,,,,,,,,,,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,AF114,HB502E,BIG AL,AF126,S0528E,HEARTBRAND S0528E,,,,,,,,,,,,,both,712,Heifer,Red,622,CH,3,E Cross,,,C0111,both
245,0,C0271,RH,0054,,ARTESIAN CATTLE 0054,1A186069,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-02-25,NS,AF40818,X94196,Active,C,AA,AN,XX,50.0,25.0,25.0,P,P,20240808.0,-5.4,0.18,3.6,0.08,49.0,0.07,88.0,0.01,28.0,0.04,52.665,0.0,,16402-4,20.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,90.63640000000001,2020.0,4.0,Dam,0054,ARTESIAN CATTLE 0054,AF40818,2442Z,HEARTBRAND 2442Z,X94196,220,220,AF6971,S5394S,HEARTBRAND JOE S5394S,AF4629,V5909S,HEARTBRAND V5909S,,,,,,,AF110,HB 457,SHIGEMARU,AF263,B0004M,HEARTBRAND B0004M,AF859,C0600N,HEARTBRAND C0600N,AF1297,T1033P,HEARTBRAND T1033P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AF123,H0518E,HEARTBRAND H0518E,AF152,S0939J,HEARTBRAND S0939J,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,both,604,Heifer,Red,666,CH,3,E Cross,,,C0111,both
248,0,C0271,RH,0064,,ARTESIAN CATTLE 0064,1A186074,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-02,NS,AF42333,X94206,Active,C,AA,AN,XX,50.0,25.0,25.0,H,P,20240808.0,-5.7,0.19,1.5,0.08,43.0,0.05,79.0,0.01,25.0,0.04,46.7455,0.0,,16402-2,53.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.1525,2020.0,4.0,Dam,0064,ARTESIAN CATTLE 0064,AF42333,2161A,HEARTBRAND 2161A,X94206,230,230,AF233,T0068L,HEARTBRAND T0068L,AF6649,S5801T,HEARTBRAND S5801T,,,,,,,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,both,642,Heifer,Red,747,P,2,E Cross,,,C0111,both
268,0,C0271,RH,0009,,ARTESIAN CATTLE 0009,1A186116,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-07,NS,AF40212,X93882,Active,C,AA,AN,XX,50.0,25.0,25.0,P,P,20240808.0,-0.4,0.2,0.9,0.09,41.0,0.06,77.0,0.01,27.0,0.04,47.4515,0.0,,16402-2,53.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,79.05910000000002,2020.0,4.0,Dam,0009,ARTESIAN CATTLE 0009,AF40212,2451Z,HEARTBRAND 2451Z,X93882,415,415,AF4533,C4037S,HEARTBRAND CHARLIE C4037S,AF956,T0698N,HEARTBRAND T0698N,,,,,,,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,AF109,HB 459,TAMAMARU,AF140,H0916J,HEARTBRAND H0916J,,,,,,,,,,,,,AF107,HB 830,HIKARI,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF110,HB 457,SHIGEMARU,AF103,FJ352B,UME,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF125,S0538E,HEARTBRAND S0538E,,,,,,,,,,,,,both,719,Heifer,Red,740,CH,3,E Cross,,,C0111,both
271,0,C0271,RH,0038,,ARTESIAN CATTLE 0038,1A186125,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-20,NS,AF42320,X93899,Active,C,AA,AN,XX,50.0,25.0,25.0,P,P,20240808.0,-2.3,0.19,1.4,0.09,44.0,0.06,79.0,0.01,24.0,0.04,45.714,0.0,,16402-2,53.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.22160000000001,2020.0,4.0,Dam,0038,ARTESIAN CATTLE 0038,AF42320,0704Z,BEEMAN 0704Z,X93899,432,432,AF2794,H2530R,HEARTBRAND H2530R,AF3277,S2962R,HEARTBRAND S2962R,,,,,,,AF107,HB 830,HIKARI,AF142,S0918J,HEARTBRAND S0918J,AF110,HB 457,SHIGEMARU,AF243,S0940L,HEARTBRAND S0940L,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF110,HB 457,SHIGEMARU,AF130,J0541F,HEARTBRAND J0541F,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,,,,,,,,,,,,,both,593,Heifer,Red,845,P,3,E Cross,,,C0111,both
274,0,C0271,RH,0023,,ARTESIAN 1177Z HAILEY 0023,1A186130,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2020-03-07,NS,AF34651,X93904,Active,C,AA,XX,,50.0,50.0,,H,P,20240808.0,-0.4,0.19,0.7,0.12,49.0,0.08,86.0,0.01,27.0,0.07,50.8675,0.0,,16402-2,53.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,89.31330000000001,2020.0,4.0,Dam,0023,ARTESIAN 1177Z HAILEY 0023,AF34651,1177Z,HEARTBRAND 1177Z,X93904,438,ARTESIAN HAILEY 438,AF7269,S6386U,HEARTBRAND KC S6386U,AF2374,C2113P,HEARTBRAND C2113P,,,,,,,AF110,HB 457,SHIGEMARU,AF230,C0062L,HEARTBRAND C0062L,AF123,H0518E,HEARTBRAND H0518E,AF6906,S0354L,HEARTBRAND S0354L,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,,,,,,,,,,,,,AF107,HB 830,HIKARI,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF110,HB 457,SHIGEMARU,AF104,FJ354B,AKIKO,,,,,,,,,,,,,both,635,Heifer,Red,503,CH,1,E Cross,,,C0111,both
