"Year","Season","Reg No","Name","Tattoo","CED","CED Acc","BW","BW Acc","WW","WW Acc","YW","YW Acc","Milk","Milk Acc","Total Maternal","Growth Idx"
"2024","20240808","AF33625","MCC 7A995","7A995","7.701","0.306","0.229","0.379","46.376","0.259","84.648","0.049","26.452","0.199","49.64","113.793"
"2024","20240808","AF172303","STEAMBOAT BRADY","4726H","6.291","0.148","0.759","0.205","45.993","0.154","82.825","0.023","28.509","0.077","51.5055","82.489"
"2024","20240808","AF326776","HEARTBRAND 1089M","1089M","6.265","0.279","2.873","0.233","48.724","0.18","86.683","0.028","25.818","0.094","50.18","87.283"
"2024","20240808","AF170012","WINDY HILL RANCH 3514G","3514G","6.687","0.288","2.682","0.467","56.851","0.3","97.524","0.051","21.593","0.132","50.0185","110.928"
"2024","20240808","AF85832","HEARTBRAND KASUO 8494D","8494","6.66","0.21","-0.159","0.25","54.925","0.204","95.415","0.033","21.814","0.107","49.276497","127.962"
"2024","20240808","AF327678","HEARTBRAND 1245M","1245M","8.126","0.261","0.749","0.186","51.321","0.136","89.797","0.022","24.254","0.073","49.914497","97.654"
"2024","20240808","AF327702","HEARTBRAND 1239M","1239M","6.386","0.263","1.518","0.201","50.589","0.142","89.729","0.023","24.518","0.064","49.8125","109.448"
"2024","20240808","AF327705","HEARTBRAND 1229M","1229M","8.336","0.263","0.35","0.186","51.811","0.132","90.211","0.021","23.764","0.069","49.669502","96.722"
"2024","20240808","AP179080","SANCHI (HP)","H047","8.4","0.429","0.032","0.511","46.494","0.27","84.175","0.045","27.869","0.08","51.115997","100.495"
"2024","20240808","AF263094","SIXTEEN PEAKS 171K","171K","6.586","0.246","0.56","0.333","45.289","0.141","81.919","0.025","26.855","0.056","49.4995","85.68"
